No of Actors '6863'.
Actor details - FirstName:WilliamLastName:AamesDob:1960.
Actor details - FirstName:WilliamLastName: AbbottDob:1895.
Actor details - FirstName:LastName: Dob:.
Actor details - FirstName:GeorgeLastName:AbbottDob:1887.
Actor details - FirstName:JohnLastName:AbbottDob:1905.
Actor details - FirstName:PhilipLastName:AbbottDob:1923.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:WalterLastName:AbelDob:1898.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JossLastName:AcklandDob:1928.
Actor details - FirstName:DanLastName:AckroydDob:.
Actor details - FirstName:LastName:Dob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:RodolfoLastName:AcostaDob:1920.
Actor details - FirstName:EddieLastName:AcuffDob:1902.
Actor details - FirstName:JeanLastName:AdairDob:1872.
Actor details - FirstName:AlfredLastName:AdamDob:1909.
Actor details - FirstName:RonaldLastName:AdamDob:1896.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:BeverlyLastName:AdamsDob:1945.
Actor details - FirstName:BrookeLastName:AdamsDob:1949.
Actor details - FirstName:CatlinLastName:BarabDob:1950.
Actor details - FirstName:DorothyLastName:AdamsDob:1915.
Actor details - FirstName:Elizabeth EdithLastName:EnkeDob:1929.
Actor details - FirstName:JaneLastName:AdamsDob:1921.
Actor details - FirstName:JuliaLastName:AdamsDob:1931.
Actor details - FirstName:Betty May (Julia)LastName:AdamsDob:1926.
Actor details - FirstName:MaudeLastName:WikstromDob:1950.
Actor details - FirstName:NicholasLastName:AdamschockDob:1931.
Actor details - FirstName:RobertLastName:AdamsDob:1906.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TomeLastName:AdamsDob:1938.
Actor details - FirstName:DawnLastName:AddamsDob:1930.
Actor details - FirstName:WesleyLastName:AddyDob:1912.
Actor details - FirstName:IsabelleLastName:AdjaniDob:1955.
Actor details - FirstName:JayLastName:AdlerDob:1899.
Actor details - FirstName:LuthaLastName:AdlerDob:1903.
Actor details - FirstName:JeanneLastName:de la Font\`eDob:1898.
Actor details - FirstName:MarioLastName:AdorfDob:1930.
Actor details - FirstName:MaxLastName:BorDob:1902.
Actor details - FirstName:BenLastName:AffleckDob:.
Actor details - FirstName:CaseyLastName:AffleckDob:.
Actor details - FirstName:JohnLastName:AgarDob:1921.
Actor details - FirstName:fnLastName:bnDob:1960.
Actor details - FirstName:JennyLastName:AgutterDob:1952.
Actor details - FirstName:BrianLastName:AherneDob:1902.
Actor details - FirstName:PhilipLastName:AhnDob:1911.
Actor details - FirstName:Fran{\c}coise SoryaLastName:DreyfusDob:1932.
Actor details - FirstName:RichardLastName:AinleyDob:1910.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:1949.
Actor details - FirstName:MurielLastName:AkedDob:1887.
Actor details - FirstName:ClaudeLastName:AkinsDob:1918.
Actor details - FirstName:SerapLastName:AksoyDob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Anna MariaLastName:AlberghettiDob:1936.
Actor details - FirstName:HanLastName:AlbersDob:1892.
Actor details - FirstName:Eddie AlbertLastName:HeimbergerDob:1908.
Actor details - FirstName:EdwardLastName:AlbertDob:1951.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:FrankLastName:AlbertsonDob:1907.
Actor details - FirstName:JackLastName:AlbertsonDob:1907.
Actor details - FirstName:MabelLastName:AlbertsonDob:1901.
Actor details - FirstName:HardyLastName:AlbrechtDob:1903.
Actor details - FirstName:LolaLastName:AlbrightDob:1925.
Actor details - FirstName:AlanLastName:AldaDob:1936.
Actor details - FirstName:AlphonsoLastName:d'AbruzzoDob:1914.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:JohnLastName:AldertonDob:1940.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:Nicholas BentonLastName:AlexanderDob:1911.
Actor details - FirstName:JaneLastName:QuigleyDob:1939.
Actor details - FirstName:JohnLastName:AlexanderDob:1901.
Actor details - FirstName:KatherineLastName:AlexanderDob:1901.
Actor details - FirstName:RossLastName:AlexanderDob:1907.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:TerenceLastName:AlexanderDob:1923.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:CassiusLastName:ClayDob:1942.
Actor details - FirstName:DorothyLastName:AlisonDob:1925.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElizabethLastName:AllanDob:1908.
Actor details - FirstName:WilliamLastName:AllandDob:1916.
Actor details - FirstName:ChesneyLastName:AllenDob:1894.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:ElizabethLastName:GilleaseDob:1934.
Actor details - FirstName:John F.LastName:SullivanDob:1894.
Actor details - FirstName:GracieLastName:AllenDob:1902.
Actor details - FirstName:KarenLastName:AllenDob:1955.
Actor details - FirstName:NancyLastName:AllenDob:1954.
Actor details - FirstName:PatrickLastName:AllenDob:1927.
Actor details - FirstName:LastName:Dob:.
Actor details - FirstName:SteveLastName:AllenDob:1921.
Actor details - FirstName:Allen StewartLastName:KonigsbergDob:1935.
